Code,Year,Entity,Poverty,Any Union
ALB,1996,Albania,0.534846036,0
ALB,2002,Albania,1.09264739,0
ALB,2005,Albania,0.591085684,0
ALB,2008,Albania,0.199925146,0
ALB,2012,Albania,0.620690887,0
ALB,2014,Albania,1.023100774,0
ALB,2015,Albania,0.120621059,0
ALB,2016,Albania,0.139303166,0
ALB,2017,Albania,0.392569934,0
ALB,2018,Albania,0.048107048,0
ALB,2019,Albania,0,0
DZA,1995,Algeria,5.770566406,0
DZA,2011,Algeria,0.455467529,0
AGO,2000,Angola,21.40884777,0
AGO,2008,Angola,14.63248729,0
AGO,2018,Angola,31.12200623,0
ARM,1996,Armenia,13.89882324,0
ARM,1999,Armenia,11.89941379,0
ARM,2001,Armenia,13.97474938,0
ARM,2002,Armenia,9.966604049,0
ARM,2003,Armenia,7.539517471,0
ARM,2004,Armenia,5.317805528,0
ARM,2005,Armenia,2.629570387,0
ARM,2006,Armenia,1.998593516,0
ARM,2007,Armenia,1.53620261,0
ARM,2008,Armenia,0.879694248,0
ARM,2009,Armenia,1.247655732,0
ARM,2010,Armenia,0.951465346,0
ARM,2011,Armenia,1.185070938,0
ARM,2012,Armenia,0.832222349,0
ARM,2013,Armenia,1.738265176,0
ARM,2014,Armenia,1.439143083,0
ARM,2015,Armenia,1.146360068,0
ARM,2016,Armenia,1.107946568,0
ARM,2017,Armenia,0.78565459,0
ARM,2018,Armenia,1.339820926,0
ARM,2019,Armenia,1.030069779,0
AUS,1995,Australia,0.749782267,0
AUS,2001,Australia,0.747411616,0
AUS,2003,Australia,0.997330711,0
AUS,2004,Australia,0.712537196,0
AUS,2008,Australia,0.36123244,1
AUS,2010,Australia,0.349168412,1
AUS,2014,Australia,0.498483803,1
AUS,2016,Australia,0.498741779,1
AUS,2018,Australia,0.497093972,1
AUT,1994,Austria,0.248399214,0
AUT,1995,Austria,0.994031531,0
AUT,1997,Austria,0.209077565,0
AUT,2000,Austria,0.241608771,0
AUT,2003,Austria,0.332203258,0
AUT,2004,Austria,0.081652888,0
AUT,2005,Austria,0.153690105,0
AUT,2006,Austria,0.090110007,0
AUT,2007,Austria,0.372291729,0
AUT,2008,Austria,0.47116702,0
AUT,2009,Austria,0.65623472,0
AUT,2010,Austria,0.490702532,1
AUT,2011,Austria,0.41540423,1
AUT,2012,Austria,0.616917369,1
AUT,2013,Austria,0.337997855,1
AUT,2014,Austria,0.224260216,1
AUT,2015,Austria,0.67719302,1
AUT,2016,Austria,0.664063548,1
AUT,2017,Austria,0.31808962,1
AUT,2018,Austria,0.56835837,1
AUT,2019,Austria,0.640638887,1
AZE,1995,Azerbaijan,12.42059232,0
AZE,2001,Azerbaijan,6.157658683,0
AZE,2002,Azerbaijan,0.079501471,0
AZE,2003,Azerbaijan,0.050580966,0
AZE,2004,Azerbaijan,0,0
AZE,2005,Azerbaijan,0,0
